Tanggal;Waktu (WIB);Lintang;Bujur;Kedalaman;Magnitude;Keterangan;Dirasakan
20/06/2024;03:26:09;-9.05;116.59;123;2.4;44 km BaratDaya SUMBAWABARAT-NTB;
20/06/2024;07:30:36;-8.68;116.07;143;2.5;7 km BaratLaut LOMBOKBARAT-NTB;
21/06/2024;18:52:23;-8.76;114.07;76;3;68 km BaratDaya BANYUWANGI-JATIM;
22/06/2024;21:42:27;-8.6;115.15;60;2.5;3 km BaratDaya BADUNG-BALI;
22/06/2024;22:57:30;-8.89;114.5;85;3.3;61 km BaratDaya JEMBRANA-BALI;
22/06/2024;08:09:01;-8.65;115.37;88;2.3;12 km BaratDaya KLUNGKUNG-BALI;
22/06/2024;21:58:44;-8.63;115.09;101;2.2;10 km BaratDaya TABANAN-BALI;
23/06/2024;18:37:16;-8.49;115.63;118;2.6;19 km Tenggara KARANGASEM-BALI;
26/06/2024;00:04:47;-8.65;116.28;98;2.7;6 km TimurLaut LOMBOKTENGAH-NTB;
26/06/2024;00:09:45;-8.48;115.27;151;2.8;9 km BaratLaut GIANYAR-BALI;
29/06/2024;08:27:13;-8.65;114.98;89;2.5;19 km BaratDaya TABANAN-BALI;
30/06/2024;23:44:32;-9.11;115.8;67;2.9;60 km BaratDaya LOMBOKBARAT-NTB;
30/06/2024;11:11:52;-8.6;115.88;85;2.6;29 km BaratLaut LOMBOKBARAT-NTB;
05/07/2024;05:53:09;-8.59;116.24;74;2.6;13 km BaratLaut LOMBOKTENGAH-NTB;
05/07/2024;18:18:54;-8.61;116.08;108;2;10 km BaratLaut LOMBOKBARAT-NTB;
11/07/2024;04:35:29;-8.93;114.5;73;3.9;65 km BaratDaya JEMBRANA-BALI;
11/07/2024;18:49:57;-8.62;116.24;95;2.5;10 km BaratLaut LOMBOKTENGAH-NTB;
11/07/2024;20:12:47;-8.79;116.91;124;2.5;7 km Tenggara SUMBAWABARAT-NTB;
13/07/2024;20:48:48;-8.67;116.17;89;2.4;3 km TimurLaut LOMBOKBARAT-NTB;
14/07/2024;18:26:50;-8.86;113.94;61;2.9;81 km Tenggara JEMBER-JATIM;
14/07/2024;04:01:27;-8.24;115.29;120;2.1;22 km BaratLaut BANGLI-BALI;
14/07/2024;06:49:32;-8.81;117.06;158;3.3;23 km Tenggara SUMBAWABARAT-NTB;
16/07/2024;22:17:43;-8.83;114.08;169;2.9;74 km BaratDaya BANYUWANGI-JATIM;
20/07/2024;10:34:27;-8.42;115.02;143;2.7;17 km BaratLaut TABANAN-BALI;
20/07/2024;04:55:23;-8.11;115.91;199;2.4;38 km BaratLaut LOMBOKUTARA-NTB;
21/07/2024;22:50:15;-9.63;115.98;62;2.9;106 km BaratDaya LOMBOKBARAT-NTB;
21/07/2024;21:39:18;-8.33;115.46;117;1.9;7 km BaratLaut KARANGASEM-BALI;
22/07/2024;06:07:35;-8.64;115.96;75;2.6;20 km BaratLaut LOMBOKBARAT-NTB;
25/07/2024;17:19:48;-9.23;116.94;73;2.4;53 km Tenggara SUMBAWABARAT-NTB;
26/07/2024;05:19:42;-8.69;114.88;102;2.4;31 km BaratDaya TABANAN-BALI;
26/07/2024;01:18:21;-8.22;113.77;193;2;15 km Tenggara JEMBER-JATIM;
27/07/2024;01:49:14;-8.67;116.14;85;3.3;1 km TimurLaut LOMBOKBARAT-NTB;
29/07/2024;04:07:43;-8.68;116.35;117;2;9 km TimurLaut LOMBOKTENGAH-NTB;
30/07/2024;05:33:19;-8.65;116.15;86;1.9;3 km TimurLaut LOMBOKBARAT-NTB;
30/07/2024;23:05:54;-9.06;117.07;119;2;41 km Tenggara SUMBAWABARAT-NTB;
31/07/2024;10:39:49;-8.47;116.24;85;2.3;15 km Tenggara LOMBOKUTARA-NTB;
02/08/2024;23:19:20;-8.61;116.13;96;1.4;8 km BaratLaut LOMBOKBARAT-NTB;
06/08/2024;09:12:57;-7.99;117.2;295;2.7;51 km TimurLaut PULAUSARINGI-NTB;
08/08/2024;21:35:10;-9.35;117.19;60;3.5;76 km Tenggara SUMBAWABARAT-NTB;
08/08/2024;22:24:40;-8.51;116.74;270;2.6;19 km BaratDaya PULAUPANJANG-NTB;
13/08/2024;04:53:29;-8.57;116.28;97;2.7;15 km TimurLaut LOMBOKTENGAH-NTB;
16/08/2024;20:29:41;-8.83;114.08;118;3.5;74 km BaratDaya BANYUWANGI-JATIM;
16/08/2024;10:52:36;-8.63;116.27;140;2.6;8 km Utara LOMBOKTENGAH-NTB;
17/08/2024;17:58:15;-8.89;116.59;87;3.1;27 km Tenggara LOMBOKTIMUR-NTB;
17/08/2024;15:24:02;-8.65;116.27;93;2.4;6 km Utara LOMBOKTENGAH-NTB;
18/08/2024;16:22:18;-9.14;115.23;62;2.5;38 km Tenggara KUTASELATAN-BALI;
19/08/2024;01:09:56;-8.68;115.67;104;2.2;33 km Tenggara KLUNGKUNG-BALI;
20/08/2024;14:16:43;-8.6;116.33;94;2.9;13 km TimurLaut LOMBOKTENGAH-NTB;
23/08/2024;14:05:23;-8.75;116.11;65;2.6;8 km BaratDaya LOMBOKBARAT-NTB;
27/08/2024;11:51:01;-8.63;116.21;92;2.5;9 km TimurLaut LOMBOKBARAT-NTB;
31/08/2024;16:34:20;-8.91;115.41;73;3.3;24 km Tenggara KUTASELATAN-BALI;
31/08/2024;00:58:35;-8.93;114.36;78;3.1;69 km BaratDaya JEMBRANA-BALI;
31/08/2024;07:26:55;-8.62;114.67;104;2.4;31 km Tenggara JEMBRANA-BALI;
