No,Tanggal,Waktu (UTC),Lintang,Bujur,Kedalaman,Magnitude,Keterangan,Dirasakan
200,2026-03-07,18:00:51,-7.89,117.6587,15.3,2.64,72 km Utara Kab. Sumbawa-NTB,
202,2026-03-07,19:08:19,-8.08,118.7707,28.8,2.65,42 km Utara Kota Bima-NTB,
203,2026-03-07,19:10:32,-8.46,118.883,22.8,2.54,17 km Timur Kota Bima-NTB,
204,2026-03-07,19:27:30,-7.84,117.3728,12.6,2.88,72 km Utara Kab. Sumbawa-NTB,
205,2026-03-07,19:38:10,-8.66,119.0869,11.8,2.6,45 km Tenggara Kota Bima-NTB,
206,2026-03-07,20:08:52,-8.07,118.9804,22.4,2.63,51 km TimurLaut Kota Bima-NTB,
207,2026-03-07,20:22:43,-9.17,117.0896,13.1,2.79,55 km Tenggara Kab. Sumbawa Barat-NTB,
210,2026-03-07,21:14:29,-8.28,116.5883,10.3,2.2,38 km Timur Kab. Lombok Utara-NTB,
211,2026-03-07,21:39:36,-7.88,119.021,34.5,2.67,72 km TimurLaut Kota Bima-NTB,
212,2026-03-07,22:01:30,-8.25,117.8994,25.3,2.35,59 km TimurLaut Kab. Sumbawa-NTB,
213,2026-03-07,22:26:59,-8.54,117.806,27.3,2.21,43 km Timur Kab. Sumbawa-NTB,
214,2026-03-07,23:00:34,-8.28,117.7394,35.2,2.42,42 km TimurLaut Kab. Sumbawa-NTB,
215,2026-03-07,23:43:18,-8.25,117.7475,24.5,2.8,45 km TimurLaut Kab. Sumbawa-NTB,
216,2026-03-08,01:10:31,-9.49,118.0558,44.2,2.78,105 km Selatan Kab. Bima-NTB,
218,2026-03-08,03:08:07,-8.93,116.8735,11.0,2.53,20 km Selatan Kab. Sumbawa Barat-NTB,
219,2026-03-08,04:24:39,-8.15,117.6578,11.6,2.51,46 km TimurLaut Kab. Sumbawa-NTB,
220,2026-03-08,04:28:17,-8.77,116.3342,11.1,2.54,10 km Tenggara Kab. Lombok Tengah-NTB,
221,2026-03-08,04:58:26,-8.25,117.8131,17.9,2.24,51 km TimurLaut Kab. Sumbawa-NTB,
222,2026-03-08,05:01:06,-8.22,117.7069,24.3,2.38,44 km TimurLaut Kab. Sumbawa-NTB,
223,2026-03-08,06:20:12,-8.0,117.584,11.0,3.12,57 km Utara Kab. Sumbawa-NTB,
224,2026-03-08,07:38:01,-8.21,117.7108,15.5,3.0,45 km TimurLaut Kab. Sumbawa-NTB,
226,2026-03-08,08:19:22,-8.94,116.792,12.4,2.57,21 km Selatan Kab. Sumbawa Barat-NTB,
227,2026-03-08,09:16:39,-8.52,115.9764,12.5,2.2,16 km BaratLaut Kota Mataram-NTB,
228,2026-03-08,09:27:17,-8.22,114.7897,10.0,2.58,23 km TimurLaut Kab. Jembrana-Bali,
229,2026-03-08,10:52:01,-8.21,117.8567,30.2,2.79,57 km TimurLaut Kab. Sumbawa-NTB,
231,2026-03-08,12:43:42,-7.99,117.4213,29.7,2.63,56 km Utara Kab. Sumbawa-NTB,
232,2026-03-08,12:53:10,-8.21,117.7139,11.6,2.45,45 km TimurLaut Kab. Sumbawa-NTB,
234,2026-03-08,14:22:17,-8.11,117.8,15.4,2.35,59 km TimurLaut Kab. Sumbawa-NTB,
235,2026-03-08,14:23:40,-8.27,117.7615,38.7,2.35,45 km TimurLaut Kab. Sumbawa-NTB,
236,2026-03-08,14:35:41,-8.23,117.6892,24.7,2.32,41 km TimurLaut Kab. Sumbawa-NTB,
237,2026-03-08,15:16:18,-8.16,117.8065,30.8,2.13,56 km TimurLaut Kab. Sumbawa-NTB,
239,2026-03-08,15:50:10,-7.87,117.1967,12.6,2.71,73 km Utara Kab. Sumbawa-NTB,
240,2026-03-08,16:25:59,-9.11,117.1189,14.9,2.54,51 km Tenggara Kab. Sumbawa Barat-NTB,
241,2026-03-08,17:41:51,-8.1,117.7693,25.4,2.4,58 km TimurLaut Kab. Sumbawa-NTB,
242,2026-03-08,17:43:05,-7.75,117.5766,10.0,3.99,84 km Utara Kab. Sumbawa-NTB,
243,2026-03-08,17:57:05,-8.22,117.7119,24.5,2.49,44 km TimurLaut Kab. Sumbawa-NTB,
244,2026-03-08,18:58:19,-8.22,117.714,27.1,2.19,44 km TimurLaut Kab. Sumbawa-NTB,
245,2026-03-08,19:23:45,-8.28,115.141,26.0,2.44,19 km Selatan Kab. Buleleng-Bali,
246,2026-03-08,19:44:32,-8.15,117.8088,22.3,2.57,57 km TimurLaut Kab. Sumbawa-NTB,
247,2026-03-08,21:23:46,-8.2,117.8409,37.3,2.42,57 km TimurLaut Kab. Sumbawa-NTB,
248,2026-03-08,23:22:59,-9.37,118.0082,30.1,2.04,95 km BaratDaya Kab. Bima-NTB,
249,2026-03-09,00:06:21,-8.22,117.8278,33.3,2.25,54 km TimurLaut Kab. Sumbawa-NTB,
250,2026-03-09,01:01:50,-8.81,118.3457,10.0,1.57,24 km Selatan Kab. Bima-NTB,
251,2026-03-09,01:18:11,-8.15,117.8436,11.6,2.92,60 km TimurLaut Kab. Sumbawa-NTB,
252,2026-03-09,01:44:14,-9.41,116.5847,34.7,2.5,77 km Selatan Kab. Sumbawa Barat-NTB,
254,2026-03-09,03:44:53,-8.17,117.8115,17.0,2.34,56 km TimurLaut Kab. Sumbawa-NTB,
256,2026-03-09,05:47:59,-8.2,117.7161,16.5,2.06,46 km TimurLaut Kab. Sumbawa-NTB,
257,2026-03-09,05:58:45,-7.86,117.4329,21.5,2.49,70 km Utara Kab. Sumbawa-NTB,
258,2026-03-09,07:44:41,-8.93,116.8892,10.0,2.23,21 km Selatan Kab. Sumbawa Barat-NTB,
259,2026-03-09,10:15:29,-10.07,118.7787,11.1,2.62,80 km BaratDaya Kab. Sumba Barat-NTT,
260,2026-03-09,11:11:05,-8.2,117.675,14.2,2.03,43 km TimurLaut Kab. Sumbawa-NTB,
261,2026-03-09,12:34:17,-9.03,118.0309,17.9,1.81,61 km BaratDaya Kab. Bima-NTB,
262,2026-03-09,12:51:58,-9.43,115.1621,35.3,2.62,84 km Selatan Kota Denpasar-Bali,
263,2026-03-09,13:11:47,-8.93,117.1132,10.0,1.92,38 km Tenggara Kab. Sumbawa Barat-NTB,
264,2026-03-09,13:43:58,-8.18,117.8572,10.0,2.05,59 km TimurLaut Kab. Sumbawa-NTB,
265,2026-03-09,13:45:30,-8.21,117.757,31.4,1.79,48 km TimurLaut Kab. Sumbawa-NTB,
266,2026-03-09,14:11:01,-8.02,117.7354,10.0,1.97,63 km TimurLaut Kab. Sumbawa-NTB,
267,2026-03-09,14:11:32,-8.38,117.9071,14.4,1.84,55 km Timur Kab. Sumbawa-NTB,
268,2026-03-09,14:15:28,-8.18,117.6597,10.0,1.82,43 km TimurLaut Kab. Sumbawa-NTB,
269,2026-03-09,14:19:42,-8.06,117.748,10.0,2.02,60 km TimurLaut Kab. Sumbawa-NTB,
270,2026-03-09,15:11:44,-8.16,117.689,10.0,1.96,47 km TimurLaut Kab. Sumbawa-NTB,
271,2026-03-09,16:08:26,-7.83,118.7292,34.7,2.23,70 km Utara Kota Bima-NTB,
272,2026-03-09,16:16:31,-8.13,117.7566,10.0,1.91,55 km TimurLaut Kab. Sumbawa-NTB,
273,2026-03-09,16:30:30,-8.27,117.7135,10.0,1.94,41 km TimurLaut Kab. Sumbawa-NTB,
274,2026-03-09,16:40:42,-7.93,118.9588,34.2,2.04,64 km TimurLaut Kota Bima-NTB,
275,2026-03-09,16:46:13,-8.14,117.786,10.0,1.91,56 km TimurLaut Kab. Sumbawa-NTB,
276,2026-03-09,16:52:49,-9.06,118.5828,10.0,2.09,56 km Tenggara Kab. Bima-NTB,
277,2026-03-09,16:57:26,-8.93,117.4494,10.0,3.61,49 km Selatan Kab. Sumbawa-NTB,
278,2026-03-09,18:00:12,-9.37,116.4373,54.6,2.6,76 km Selatan Kab. Lombok Tengah-NTB,
279,2026-03-09,18:55:01,-8.14,117.7573,24.6,2.0,54 km TimurLaut Kab. Sumbawa-NTB,
280,2026-03-09,19:05:03,-8.12,117.6713,10.0,2.15,50 km TimurLaut Kab. Sumbawa-NTB,
281,2026-03-09,19:11:24,-8.1,117.6671,13.1,1.99,51 km TimurLaut Kab. Sumbawa-NTB,
283,2026-03-09,19:20:17,-8.94,117.4585,18.5,1.98,50 km Selatan Kab. Sumbawa-NTB,
284,2026-03-09,20:49:50,-8.7,117.9657,17.0,1.79,47 km Barat Kab. Bima-NTB,
